5	6u9cNKUM2qs	00:01:12	ВС	Добрий вечір.
8	6u9cNKUM2qs	00:01:15	ПА	Шалом.
11	6u9cNKUM2qs	00:01:18	ОН	Шалом всім. Можна навіть сказати, що вже шабаш «шалом». Будемо чекати пана Тараса, тому що, тіпа, він, швидше за все, забув, бо написав: «Це що, через 25 хв?» Хоча ми домовлялися. Але, в принципі, зараз, можна сказати про те, що ми сьогодні задонатили.
13	6u9cNKUM2qs	00:01:40	ОН	Те, що нарешті прийшло з Ютуба, там, як завжди, 10 000 податків, але то… таке. Ми там віддали фонду Притули на Байрактари, бо треба. Віддали фонду «Повернись живим» 46 666 грн, бо 66-й епізод.
15	6u9cNKUM2qs	00:02:00	ОН	І ще ми 30 000 віддали «Паляниці» на тачку. Зара почекаєм трошки пана Тараса. Можливо, пошукаєм питання одразу пану «Аноніму», поки він тут. Може, щось для нього знайдем. Короче, той во, не переключайтесь.
18	6u9cNKUM2qs	00:02:25	ВС	Тут є просто універсальне питання насправді. От, я думаю, його можна задавати будь-кому. Ви можете просто підходити до людей, задавати це питання на вулиці. Чи не здається вам, що острів Зміїний дуже схожий на Крим в мініатюрі?
21	6u9cNKUM2qs	00:02:43	ПА	Цікаве питання.
24	6u9cNKUM2qs	00:02:47	ВС	Да, мені теж дуже сподобалося.
27	6u9cNKUM2qs	00:02:47	ОН	Дякую за лаконічну відповідь. Від тебе завжди чекаємо саме такі відповіді.
30	6u9cNKUM2qs	00:02:55	ПА	Да? Мені здалося інакше.
33	6u9cNKUM2qs	00:02:59	ОН	Нє, ну, насправді інакше, але, тіпа, ти завжди відповідаєш так. Тому ми вже звикли.
36	6u9cNKUM2qs	00:03:04	ПА	Я просто забуваю зазвичай, шо я хочу сказати в продовження відповіді.
39	6u9cNKUM2qs	00:03:15	Т	Привіт. Раз, два, три…
42	6u9cNKUM2qs	00:03:19	ОН	О, привіт. Чуєш?...
45	6u9cNKUM2qs	00:03:19	ПА	Доброго вечора.
48	6u9cNKUM2qs	00:03:19	Т	Доброго дня.
51	6u9cNKUM2qs	00:03:20	ОН	Пан Тарас, а, може… Да, доброго дня для тебе.
54	6u9cNKUM2qs	00:03:23	ПА	Кому шо…
57	6u9cNKUM2qs	00:03:24	ОН	А тобі, може, зручніше буде без гарнітури? Чи тобі не зручно буде?
60	6u9cNKUM2qs	00:03:29	Т	Я на вулиці. Йду з точки А в точку Б. Тому, тіпа, або так, або ніяк. Вибачайте
63	6u9cNKUM2qs	00:03:35	ОН	Ясно. Ок, значить, будем так
66	6u9cNKUM2qs	00:03:38	Т	А шо, мене погано чути?
69	6u9cNKUM2qs	00:03:41	ОН	Та просто, тіпа, ну, дуже багато скаржились минулого разу, і цього разу так само, тіпа. Багато шуму, але, думаю, якщо ти знімеш гарнітуру, воно, типу, ролі не зіграє.
72	6u9cNKUM2qs	00:03:50	Т	Ну, я тоді буду на гучному. І тоді буде ще гірше, бо так я в навушниках
75	6u9cNKUM2qs	00:03:54	ОН	Ну, я теж так думаю. 
78	6u9cNKUM2qs	00:03:57	Т	Як ваші справи?
81	6u9cNKUM2qs	00:03:58	ОН	А, розповідай, як… Нє, давай ти. Бо ти там. Розповідай, що в тебе там цікавого? Ми зараз будемо тут збирати питання. Ну, точніше, вони вже зібрані. Просто треба їх якось той во..
84	6u9cNKUM2qs	00:04:08	Т	Ну, в мене, насправді, не дуже багато часу, бо в мене зараз має ще бути включення. Ще запис цього інтерв’ю. Я так доєднався на 15 хвилинок. В нас все добре.
87	6u9cNKUM2qs	00:04:20	ОН	Ого!
90	6u9cNKUM2qs	00:04:22	Т	Да. Ну, тож є пан Анонім, я бачу. Десь, може, ще народ підтягнеться
93	6u9cNKUM2qs	00:04:31	ОН	Ладно, давай почнемо. В мене є класне питання. Я його відкладав.
96	6u9cNKUM2qs	00:04:36	Т	Давай.
99	6u9cNKUM2qs	00:04:38	ОН	Зара я його знайду, шоб процитувати дуже точно. Ми зараз відразу попередньо вибачимось, тому що це, тіпа, наша суб’єктивна точка зору, що ці питання мають бути саме в цій поплаві. Тому прошу вас, щоб ви там не цей во.
